feature,importance,importance_sd
max_installments,0.5718334243762585,0.0024818613344308933
avg_installments,0.5319212165945872,0.003425809640537897
monetary,0.25414340015471243,0.00390695874998802
avg_review_score,0.11300100786381354,0.0023056389150673253
avg_items,0.10820858845259314,0.0018181951569783115
late_delivery_rate,0.09851776084452957,0.0035821420010686642
credit_share,0.07066683689581799,0.0017231042488133023
avg_delivery_days,0.05257966900579945,0.0021175961212620406
recency_days,0.03510636950708153,0.0012190754317282942
boleto_share,0.033478430058574184,0.0005716833615679521
review_coverage,0.005247606202030441,0.00040366535595137996
delivery_coverage,0.0,0.0
