feature,analysis
avg_review_score,main_retrospective
avg_delivery_days,main_retrospective
late_delivery_rate,main_retrospective
monetary,main_retrospective
recency_days,main_retrospective
avg_items,main_retrospective
avg_installments,main_retrospective
max_installments,main_retrospective
credit_share,main_retrospective
boleto_share,main_retrospective
review_coverage,main_retrospective
delivery_coverage,main_retrospective
avg_review_score,proxy_resistant_sensitivity
avg_delivery_days,proxy_resistant_sensitivity
late_delivery_rate,proxy_resistant_sensitivity
avg_order_value,proxy_resistant_sensitivity
recency_days,proxy_resistant_sensitivity
avg_items,proxy_resistant_sensitivity
avg_installments,proxy_resistant_sensitivity
credit_share,proxy_resistant_sensitivity
boleto_share,proxy_resistant_sensitivity
review_coverage,proxy_resistant_sensitivity
delivery_coverage,proxy_resistant_sensitivity
