decile,customers,positives,positive_rate,lift
1,9336,2231,0.23896743787489289,7.964841865449571
2,9336,221,0.023671808054841474,0.7889870247711139
3,9336,122,0.013067694944301628,0.4355493982899362
4,9335,74,0.007927155865024103,0.26421400115920035
5,9336,61,0.006533847472150814,0.2177746991449681
6,9336,47,0.005034275921165381,0.16779362065268033
7,9335,29,0.0031065881092662024,0.10354332477860553
8,9336,11,0.001178234790059983,0.03927084738679753
9,9336,4,0.0004284490145672665,0.014280308140653647
10,9336,1,0.00010711225364181663,0.0035700770351634117
